Article	Description	KPWHZO	KPWHLO	KPCASE	KPAVAL	Quantity
DG000081.02	USB CABL IQOS (PALE BLUE SLU) OPK 1	BLB	B01	NCI300015700010	1	500
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300292700070	0	20
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300316600100	1	20
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300334600090	1	40
DK001838.02	KIT LIL SOLID 2.0 COSMIC BLUE OPK 1	PIO	P2-77	NCI300389300170	1	160
DK001839.02	KIT LIL SOLID 2.0 STONE GREY OPK 1	PIO	P2-78	NCI300389300180	0	40
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	BLB	B03	NCI300485600010	1	90
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	BLB	B04	NCI300334600010	1	330
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	HA2	RAMPA15	NCI300467200010	1	180
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	PIO	P2-66	NCI300430400020	0	270
DK002870.01	KIT IQOS ILUMA PEBBLE GREY	PIO	P2-66	NCI300449500010	1	30
DK002871.00	KIT IQOS ILUMA AZURE BLUE	KLC	FRONTA	NCI300081500023	1	30
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B02	NCI300467200020	1	60
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B02	NCI300485600020	1	90
DK002871.01	KIT IQOS ILUMA AZURE BLUE	BLB	B04	NCI300389300020	1	240
DK002871.01	KIT IQOS ILUMA AZURE BLUE	PIO	P2-70	NCI300430400030	0	90
DK002871.01	KIT IQOS ILUMA AZURE BLUE	PIO	P2-70	NCI300449500020	1	60
DK002872.00	KIT IQOS ILUMA PEBBLE BEIGE	KLC	FRONTA	NCI017822065	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	BLB	B02	NCI300467200030	1	90
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	BLB	B04	NCI300485600030	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300316600030	0	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300334600030	1	300
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300430400040	1	30
DK002872.01	KIT IQOS ILUMA PEBBLE BEIGE	PIO	P2-58	NCI300449500030	1	90
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300292700030	1	30
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300467200040	1	30
DK002873.01	KIT IQOS ILUMA SUNSET RED	BLB	B02	NCI300485600040	1	150
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300389300030	0	90
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300430400050	1	210
DK002873.01	KIT IQOS ILUMA SUNSET RED	PIO	P2-85	NCI300449500040	1	60
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B02	NCI300316600050	1	60
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B04	NCI300449500050	1	90
DK002874.01	KIT IQOS ILUMA MOSS GREEN	BLB	B04	NCI300467200050	1	90
DK002874.01	KIT IQOS ILUMA MOSS GREEN	PIO	P2-84	NCI300334600050	0	240
DK002874.01	KIT IQOS ILUMA MOSS GREEN	PIO	P2-84	NCI300430400060	1	30
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	BLB	B03	NCI300485600050	1	60
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	BLB	B04	NCI300467200060	1	90
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	PIO	P2-79	NCI300430400070	0	120
DK002879.01	KIT IQOS ILUMA ONE PEBBLE GREY	PIO	P2-79	NCI300449500060	1	300
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	BLB	B02	NCI300467200070	1	60
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	BLB	B03	NCI300485600060	1	30
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300389300040	0	60
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300430400080	1	360
DK002880.01	KIT IQOS ILUMA ONE SUNSET RED	PIO	P2-57	NCI300449500070	1	30
DK002881.01	KIT IQOS ILUMA ONE PEBBLE BEIGE	BLB	B03	NCI300485600070	1	30
DK002881.01	KIT IQOS ILUMA ONE PEBBLE BEIGE	PIO	P2-83	NCI300398900010	0	540
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B01	NCI300292700060	1	120
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B02	NCI300467200080	1	30
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B03	NCI300485600080	1	30
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	BLB	B04	NCI300316600080	1	240
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	PIO	P2-92	NCI300430400090	0	90
DK002882.01	KIT IQOS ILUMA ONE AZURE BLUE	PIO	P2-92	NCI300449500080	1	60
DK002883.01	KIT IQOS ILUMA ONE MOSS GREEN	BLB	B01	NCI300334600080	1	300
